,sentence1,sentence2,gold_label_log_numeric,gold_label_log,gold_label_prag,spec_relation,item_type,trigger,lexemes
254,Thomas revealed some gates.,Thomas revealed all gates.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
255,Thomas revealed all gates.,Thomas revealed some gates.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
256,Thomas didn't reveal all gates.,Thomas revealed no gates.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
257,Thomas revealed no gates.,Thomas didn't reveal all gates.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
258,Thomas revealed all gates.,Thomas revealed no gates.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
259,Thomas revealed no gates.,Thomas revealed all gates.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
260,Thomas revealed some gates.,Thomas revealed no gates.,-1,contradiction,contradiction,negation,control,quantifier,some - all
261,Thomas revealed no gates.,Thomas revealed some gates.,-1,contradiction,contradiction,negation,control,quantifier,some - all
262,Thomas revealed all gates.,Thomas didn't reveal all gates.,-1,contradiction,contradiction,negation,control,quantifier,some - all
263,Thomas didn't reveal all gates.,Thomas revealed all gates.,-1,contradiction,contradiction,negation,control,quantifier,some - all
264,Some blouses had warped.,Not all blouses had warped.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
265,Not all blouses had warped.,Some blouses had warped.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
266,Some blouses had warped.,All blouses had warped.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
267,All blouses had warped.,Some blouses had warped.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
268,Not all blouses had warped.,No blouses had warped.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
269,No blouses had warped.,Not all blouses had warped.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
270,All blouses had warped.,No blouses had warped.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
271,No blouses had warped.,All blouses had warped.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
272,Some blouses had warped.,No blouses had warped.,-1,contradiction,contradiction,negation,control,quantifier,some - all
273,No blouses had warped.,Some blouses had warped.,-1,contradiction,contradiction,negation,control,quantifier,some - all
274,All blouses had warped.,Not all blouses had warped.,-1,contradiction,contradiction,negation,control,quantifier,some - all
275,Not all blouses had warped.,All blouses had warped.,-1,contradiction,contradiction,negation,control,quantifier,some - all
276,Some customers might play.,Not all customers might play.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
277,Not all customers might play.,Some customers might play.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
278,Some customers might play.,All customers might play.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
279,All customers might play.,Some customers might play.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
280,Not all customers might play.,No customers might play.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
281,No customers might play.,Not all customers might play.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
282,All customers might play.,No customers might play.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
283,No customers might play.,All customers might play.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
284,Some customers might play.,No customers might play.,-1,contradiction,contradiction,negation,control,quantifier,some - all
285,No customers might play.,Some customers might play.,-1,contradiction,contradiction,negation,control,quantifier,some - all
286,All customers might play.,Not all customers might play.,-1,contradiction,contradiction,negation,control,quantifier,some - all
287,Not all customers might play.,All customers might play.,-1,contradiction,contradiction,negation,control,quantifier,some - all
288,Brett has healed some actresses.,Brett hasn't healed all actresses.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
289,Brett hasn't healed all actresses.,Brett has healed some actresses.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
290,Brett has healed some actresses.,Brett has healed all actresses.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
291,Brett has healed all actresses.,Brett has healed some actresses.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
292,Brett hasn't healed all actresses.,Brett has healed no actresses.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
293,Brett has healed no actresses.,Brett hasn't healed all actresses.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
294,Brett has healed all actresses.,Brett has healed no actresses.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
295,Brett has healed no actresses.,Brett has healed all actresses.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
296,Brett has healed some actresses.,Brett has healed no actresses.,-1,contradiction,contradiction,negation,control,quantifier,some - all
297,Brett has healed no actresses.,Brett has healed some actresses.,-1,contradiction,contradiction,negation,control,quantifier,some - all
298,Brett has healed all actresses.,Brett hasn't healed all actresses.,-1,contradiction,contradiction,negation,control,quantifier,some - all
299,Brett hasn't healed all actresses.,Brett has healed all actresses.,-1,contradiction,contradiction,negation,control,quantifier,some - all
300,Some guys were cooking.,Not all guys were cooking.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
301,Not all guys were cooking.,Some guys were cooking.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
302,Some guys were cooking.,All guys were cooking.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
303,All guys were cooking.,Some guys were cooking.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
304,Not all guys were cooking.,No guys were cooking.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
305,No guys were cooking.,Not all guys were cooking.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
306,All guys were cooking.,No guys were cooking.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
307,No guys were cooking.,All guys were cooking.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
308,Some guys were cooking.,No guys were cooking.,-1,contradiction,contradiction,negation,control,quantifier,some - all
309,No guys were cooking.,Some guys were cooking.,-1,contradiction,contradiction,negation,control,quantifier,some - all
310,All guys were cooking.,Not all guys were cooking.,-1,contradiction,contradiction,negation,control,quantifier,some - all
311,Not all guys were cooking.,All guys were cooking.,-1,contradiction,contradiction,negation,control,quantifier,some - all
312,Some waiters performed.,Not all waiters performed.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
313,Not all waiters performed.,Some waiters performed.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
314,Some waiters performed.,All waiters performed.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
315,All waiters performed.,Some waiters performed.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
316,Not all waiters performed.,No waiters performed.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
317,No waiters performed.,Not all waiters performed.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
318,All waiters performed.,No waiters performed.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
319,No waiters performed.,All waiters performed.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
320,Some waiters performed.,No waiters performed.,-1,contradiction,contradiction,negation,control,quantifier,some - all
321,No waiters performed.,Some waiters performed.,-1,contradiction,contradiction,negation,control,quantifier,some - all
322,All waiters performed.,Not all waiters performed.,-1,contradiction,contradiction,negation,control,quantifier,some - all
323,Not all waiters performed.,All waiters performed.,-1,contradiction,contradiction,negation,control,quantifier,some - all
324,Some blouses warped.,Not all blouses warped.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
325,Not all blouses warped.,Some blouses warped.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
326,Some blouses warped.,All blouses warped.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
327,All blouses warped.,Some blouses warped.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
328,Not all blouses warped.,No blouses warped.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
329,No blouses warped.,Not all blouses warped.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
330,All blouses warped.,No blouses warped.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
331,No blouses warped.,All blouses warped.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
332,Some blouses warped.,No blouses warped.,-1,contradiction,contradiction,negation,control,quantifier,some - all
333,No blouses warped.,Some blouses warped.,-1,contradiction,contradiction,negation,control,quantifier,some - all
334,All blouses warped.,Not all blouses warped.,-1,contradiction,contradiction,negation,control,quantifier,some - all
335,Not all blouses warped.,All blouses warped.,-1,contradiction,contradiction,negation,control,quantifier,some - all
336,Some people were wearing the scarves.,Not all people were wearing the scarves.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
337,Not all people were wearing the scarves.,Some people were wearing the scarves.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
338,Some people were wearing the scarves.,All people were wearing the scarves.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
339,All people were wearing the scarves.,Some people were wearing the scarves.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
340,Not all people were wearing the scarves.,No people were wearing the scarves.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
341,No people were wearing the scarves.,Not all people were wearing the scarves.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
342,All people were wearing the scarves.,No people were wearing the scarves.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
343,No people were wearing the scarves.,All people were wearing the scarves.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
344,Some people were wearing the scarves.,No people were wearing the scarves.,-1,contradiction,contradiction,negation,control,quantifier,some - all
345,No people were wearing the scarves.,Some people were wearing the scarves.,-1,contradiction,contradiction,negation,control,quantifier,some - all
346,All people were wearing the scarves.,Not all people were wearing the scarves.,-1,contradiction,contradiction,negation,control,quantifier,some - all
347,Not all people were wearing the scarves.,All people were wearing the scarves.,-1,contradiction,contradiction,negation,control,quantifier,some - all
348,Some pants have frayed.,Not all pants have frayed.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
349,Not all pants have frayed.,Some pants have frayed.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
350,Some pants have frayed.,All pants have frayed.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
351,All pants have frayed.,Some pants have frayed.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
352,Not all pants have frayed.,No pants have frayed.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
353,No pants have frayed.,Not all pants have frayed.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
354,All pants have frayed.,No pants have frayed.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
355,No pants have frayed.,All pants have frayed.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
356,Some pants have frayed.,No pants have frayed.,-1,contradiction,contradiction,negation,control,quantifier,some - all
357,No pants have frayed.,Some pants have frayed.,-1,contradiction,contradiction,negation,control,quantifier,some - all
358,All pants have frayed.,Not all pants have frayed.,-1,contradiction,contradiction,negation,control,quantifier,some - all
359,Not all pants have frayed.,All pants have frayed.,-1,contradiction,contradiction,negation,control,quantifier,some - all
360,Many senators tour some schools.,Many senators don't tour all schools.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
361,Many senators don't tour all schools.,Many senators tour some schools.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
362,Many senators tour some schools.,Many senators tour all schools.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
363,Many senators tour all schools.,Many senators tour some schools.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
364,Many senators don't tour all schools.,Many senators tour no schools.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
365,Many senators tour no schools.,Many senators don't tour all schools.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
366,Many senators tour all schools.,Many senators tour no schools.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
367,Many senators tour no schools.,Many senators tour all schools.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
368,Many senators tour some schools.,Many senators tour no schools.,-1,contradiction,contradiction,negation,control,quantifier,some - all
369,Many senators tour no schools.,Many senators tour some schools.,-1,contradiction,contradiction,negation,control,quantifier,some - all
370,Many senators tour all schools.,Many senators don't tour all schools.,-1,contradiction,contradiction,negation,control,quantifier,some - all
371,Many senators don't tour all schools.,Many senators tour all schools.,-1,contradiction,contradiction,negation,control,quantifier,some - all
372,The actress could research some photographs.,The actress couldn't research all photographs.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
373,The actress couldn't research all photographs.,The actress could research some photographs.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
374,The actress could research some photographs.,The actress could research all photographs.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
375,The actress could research all photographs.,The actress could research some photographs.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
376,The actress couldn't research all photographs.,The actress could research no photographs.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
377,The actress could research no photographs.,The actress couldn't research all photographs.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
378,The actress could research all photographs.,The actress could research no photographs.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
379,The actress could research no photographs.,The actress could research all photographs.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
380,The actress could research some photographs.,The actress could research no photographs.,-1,contradiction,contradiction,negation,control,quantifier,some - all
381,The actress could research no photographs.,The actress could research some photographs.,-1,contradiction,contradiction,negation,control,quantifier,some - all
382,The actress could research all photographs.,The actress couldn't research all photographs.,-1,contradiction,contradiction,negation,control,quantifier,some - all
383,The actress couldn't research all photographs.,The actress could research all photographs.,-1,contradiction,contradiction,negation,control,quantifier,some - all
384,Some actors will predict many blouses to soak.,Not all actors will predict many blouses to soak.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
385,Not all actors will predict many blouses to soak.,Some actors will predict many blouses to soak.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
386,Some actors will predict many blouses to soak.,All actors will predict many blouses to soak.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
387,All actors will predict many blouses to soak.,Some actors will predict many blouses to soak.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
388,Not all actors will predict many blouses to soak.,No actors will predict many blouses to soak.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
389,No actors will predict many blouses to soak.,Not all actors will predict many blouses to soak.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
390,All actors will predict many blouses to soak.,No actors will predict many blouses to soak.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
391,No actors will predict many blouses to soak.,All actors will predict many blouses to soak.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
392,Some actors will predict many blouses to soak.,No actors will predict many blouses to soak.,-1,contradiction,contradiction,negation,control,quantifier,some - all
393,No actors will predict many blouses to soak.,Some actors will predict many blouses to soak.,-1,contradiction,contradiction,negation,control,quantifier,some - all
394,All actors will predict many blouses to soak.,Not all actors will predict many blouses to soak.,-1,contradiction,contradiction,negation,control,quantifier,some - all
395,Not all actors will predict many blouses to soak.,All actors will predict many blouses to soak.,-1,contradiction,contradiction,negation,control,quantifier,some - all
396,Some blouses shrank.,Not all blouses shrank.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
397,Not all blouses shrank.,Some blouses shrank.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
398,Some blouses shrank.,All blouses shrank.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
399,All blouses shrank.,Some blouses shrank.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
400,Not all blouses shrank.,No blouses shrank.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
401,No blouses shrank.,Not all blouses shrank.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
402,All blouses shrank.,No blouses shrank.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
403,No blouses shrank.,All blouses shrank.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
404,Some blouses shrank.,No blouses shrank.,-1,contradiction,contradiction,negation,control,quantifier,some - all
405,No blouses shrank.,Some blouses shrank.,-1,contradiction,contradiction,negation,control,quantifier,some - all
406,All blouses shrank.,Not all blouses shrank.,-1,contradiction,contradiction,negation,control,quantifier,some - all
407,Not all blouses shrank.,All blouses shrank.,-1,contradiction,contradiction,negation,control,quantifier,some - all
408,Derek passed some public parks.,Derek didn't pass all public parks.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
409,Derek didn't pass all public parks.,Derek passed some public parks.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
410,Derek passed some public parks.,Derek passed all public parks.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
411,Derek passed all public parks.,Derek passed some public parks.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
412,Derek didn't pass all public parks.,Derek passed no public parks.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
413,Derek passed no public parks.,Derek didn't pass all public parks.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
414,Derek passed all public parks.,Derek passed no public parks.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
415,Derek passed no public parks.,Derek passed all public parks.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
416,Derek passed some public parks.,Derek passed no public parks.,-1,contradiction,contradiction,negation,control,quantifier,some - all
417,Derek passed no public parks.,Derek passed some public parks.,-1,contradiction,contradiction,negation,control,quantifier,some - all
418,Derek passed all public parks.,Derek didn't pass all public parks.,-1,contradiction,contradiction,negation,control,quantifier,some - all
419,Derek didn't pass all public parks.,Derek passed all public parks.,-1,contradiction,contradiction,negation,control,quantifier,some - all
420,Janet has cared for some girls.,Janet hasn't cared for all girls.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
421,Janet hasn't cared for all girls.,Janet has cared for some girls.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
422,Janet has cared for some girls.,Janet has cared for all girls.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
423,Janet has cared for all girls.,Janet has cared for some girls.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
424,Janet hasn't cared for all girls.,Janet has cared for no girls.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
425,Janet has cared for no girls.,Janet hasn't cared for all girls.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
426,Janet has cared for all girls.,Janet has cared for no girls.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
427,Janet has cared for no girls.,Janet has cared for all girls.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
428,Janet has cared for some girls.,Janet has cared for no girls.,-1,contradiction,contradiction,negation,control,quantifier,some - all
429,Janet has cared for no girls.,Janet has cared for some girls.,-1,contradiction,contradiction,negation,control,quantifier,some - all
430,Janet has cared for all girls.,Janet hasn't cared for all girls.,-1,contradiction,contradiction,negation,control,quantifier,some - all
431,Janet hasn't cared for all girls.,Janet has cared for all girls.,-1,contradiction,contradiction,negation,control,quantifier,some - all
432,Some women are needing the library to conspire.,Not all women are needing the library to conspire.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
433,Not all women are needing the library to conspire.,Some women are needing the library to conspire.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
434,Some women are needing the library to conspire.,All women are needing the library to conspire.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
435,All women are needing the library to conspire.,Some women are needing the library to conspire.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
436,Not all women are needing the library to conspire.,No women are needing the library to conspire.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
437,No women are needing the library to conspire.,Not all women are needing the library to conspire.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
438,All women are needing the library to conspire.,No women are needing the library to conspire.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
439,No women are needing the library to conspire.,All women are needing the library to conspire.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
440,Some women are needing the library to conspire.,No women are needing the library to conspire.,-1,contradiction,contradiction,negation,control,quantifier,some - all
441,No women are needing the library to conspire.,Some women are needing the library to conspire.,-1,contradiction,contradiction,negation,control,quantifier,some - all
442,All women are needing the library to conspire.,Not all women are needing the library to conspire.,-1,contradiction,contradiction,negation,control,quantifier,some - all
443,Not all women are needing the library to conspire.,All women are needing the library to conspire.,-1,contradiction,contradiction,negation,control,quantifier,some - all
444,Some drivers would research the governments.,Not all drivers would research the governments.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
445,Not all drivers would research the governments.,Some drivers would research the governments.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
446,Some drivers would research the governments.,All drivers would research the governments.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
447,All drivers would research the governments.,Some drivers would research the governments.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
448,Not all drivers would research the governments.,No drivers would research the governments.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
449,No drivers would research the governments.,Not all drivers would research the governments.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
450,All drivers would research the governments.,No drivers would research the governments.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
451,No drivers would research the governments.,All drivers would research the governments.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
452,Some drivers would research the governments.,No drivers would research the governments.,-1,contradiction,contradiction,negation,control,quantifier,some - all
453,No drivers would research the governments.,Some drivers would research the governments.,-1,contradiction,contradiction,negation,control,quantifier,some - all
454,All drivers would research the governments.,Not all drivers would research the governments.,-1,contradiction,contradiction,negation,control,quantifier,some - all
455,Not all drivers would research the governments.,All drivers would research the governments.,-1,contradiction,contradiction,negation,control,quantifier,some - all
456,Some jackets had shrunk.,Not all jackets had shrunk.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
457,Not all jackets had shrunk.,Some jackets had shrunk.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
458,Some jackets had shrunk.,All jackets had shrunk.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
459,All jackets had shrunk.,Some jackets had shrunk.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
460,Not all jackets had shrunk.,No jackets had shrunk.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
461,No jackets had shrunk.,Not all jackets had shrunk.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
462,All jackets had shrunk.,No jackets had shrunk.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
463,No jackets had shrunk.,All jackets had shrunk.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
464,Some jackets had shrunk.,No jackets had shrunk.,-1,contradiction,contradiction,negation,control,quantifier,some - all
465,No jackets had shrunk.,Some jackets had shrunk.,-1,contradiction,contradiction,negation,control,quantifier,some - all
466,All jackets had shrunk.,Not all jackets had shrunk.,-1,contradiction,contradiction,negation,control,quantifier,some - all
467,Not all jackets had shrunk.,All jackets had shrunk.,-1,contradiction,contradiction,negation,control,quantifier,some - all
468,Some rabbits will leave.,Not all rabbits will leave.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
469,Not all rabbits will leave.,Some rabbits will leave.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
470,Some rabbits will leave.,All rabbits will leave.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
471,All rabbits will leave.,Some rabbits will leave.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
472,Not all rabbits will leave.,No rabbits will leave.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
473,No rabbits will leave.,Not all rabbits will leave.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
474,All rabbits will leave.,No rabbits will leave.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
475,No rabbits will leave.,All rabbits will leave.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
476,Some rabbits will leave.,No rabbits will leave.,-1,contradiction,contradiction,negation,control,quantifier,some - all
477,No rabbits will leave.,Some rabbits will leave.,-1,contradiction,contradiction,negation,control,quantifier,some - all
478,All rabbits will leave.,Not all rabbits will leave.,-1,contradiction,contradiction,negation,control,quantifier,some - all
479,Not all rabbits will leave.,All rabbits will leave.,-1,contradiction,contradiction,negation,control,quantifier,some - all
480,Some patients forfeit.,Not all patients forfeit.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
481,Not all patients forfeit.,Some patients forfeit.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
482,Some patients forfeit.,All patients forfeit.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
483,All patients forfeit.,Some patients forfeit.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
484,Not all patients forfeit.,No patients forfeit.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
485,No patients forfeit.,Not all patients forfeit.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
486,All patients forfeit.,No patients forfeit.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
487,No patients forfeit.,All patients forfeit.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
488,Some patients forfeit.,No patients forfeit.,-1,contradiction,contradiction,negation,control,quantifier,some - all
489,No patients forfeit.,Some patients forfeit.,-1,contradiction,contradiction,negation,control,quantifier,some - all
490,All patients forfeit.,Not all patients forfeit.,-1,contradiction,contradiction,negation,control,quantifier,some - all
491,Not all patients forfeit.,All patients forfeit.,-1,contradiction,contradiction,negation,control,quantifier,some - all
492,Some waiters do reunite.,Not all waiters do reunite.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
493,Not all waiters do reunite.,Some waiters do reunite.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
494,Some waiters do reunite.,All waiters do reunite.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
495,All waiters do reunite.,Some waiters do reunite.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
496,Not all waiters do reunite.,No waiters do reunite.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
497,No waiters do reunite.,Not all waiters do reunite.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
498,All waiters do reunite.,No waiters do reunite.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
499,No waiters do reunite.,All waiters do reunite.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
500,Some waiters do reunite.,No waiters do reunite.,-1,contradiction,contradiction,negation,control,quantifier,some - all
501,No waiters do reunite.,Some waiters do reunite.,-1,contradiction,contradiction,negation,control,quantifier,some - all
502,All waiters do reunite.,Not all waiters do reunite.,-1,contradiction,contradiction,negation,control,quantifier,some - all
503,Not all waiters do reunite.,All waiters do reunite.,-1,contradiction,contradiction,negation,control,quantifier,some - all
504,The child remembers some ladies.,The child doesn't remember all ladies.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
505,The child doesn't remember all ladies.,The child remembers some ladies.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
506,The child remembers some ladies.,The child remembers all ladies.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
507,The child remembers all ladies.,The child remembers some ladies.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
508,The child doesn't remember all ladies.,The child remembers no ladies.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
509,The child remembers no ladies.,The child doesn't remember all ladies.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
510,The child remembers all ladies.,The child remembers no ladies.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
511,The child remembers no ladies.,The child remembers all ladies.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
512,The child remembers some ladies.,The child remembers no ladies.,-1,contradiction,contradiction,negation,control,quantifier,some - all
513,The child remembers no ladies.,The child remembers some ladies.,-1,contradiction,contradiction,negation,control,quantifier,some - all
