,gold_label,sentence1,sentence2
337,neutral,Two belly dancers perform with each other in the streets while passersby look on and watch the display.,Two dancers are making money
338,neutral,A woman looks at a plate filled with steam.,The woman is cooking something exciting.
339,neutral,"Indian musicians playing in the evening on a pillow, while life behind them continues.",The musicians are care free.
340,neutral,A woman in a striped shirt holds an infant.,A woman holds her baby.
341,neutral,a man playing guitar and signing next to a woman in a dress playing an instrument,A man and woman collect money for playing.
342,neutral,Mother and daughter are meeting for the first time.,The mother and daughter are meeting over lunch.
343,neutral,Several members of a community are celebrating with music and costumes during a festival or party.,The people are celebrating New Years Eve.
344,neutral,Man and woman rowing on surfboards third rower in distance.,Couple go out for their first surfing session as a couple.
345,neutral,a young girl looking down through some leaves from atop a tree.,The girl is playing hide and seek.
346,neutral,"There are two kilted men, one of them older and is holding bagpipes with the other one with a drum.",Two men are friends
347,neutral,A hockey player in blue and red guarding the goal.,a hockey goalie earns his keep
348,neutral,"Two dirt bike riders, one wearing green and the other wearing blue and white, are jumping a hill.",Two dirt bike riders are practicing new tricks
349,neutral,A snowboarder making a big jump doing a trick on a high mountain.,A snowboarder lands a trick during a competition.
350,neutral,The people await to cross the street while walking the dog.,people are at a busy intersection
351,neutral,A group of people sitting around a rectangular table having either pieces of paper or laptops in front of them.,they have a work meeting
352,neutral,An older man wearing stars and stripes rides a bike.,The man wearing stars and stripes on a bike is in a parade.
353,neutral,An adventurous man navigates through the jungle with a long stick.,"An adventurous man navigates through the jungle, searching for a rare babboon."
354,neutral,Children are playing outside in a fountain.,Some children throw stones into a fountain.
355,neutral,Stick figures in the middle of the street.,A painting of a stick figure
356,neutral,A dog is running in the waves at the beach.,The dog is fetching his toy that his master threw into the surf.
357,neutral,A cyclist dressed in black and white is pointing.,A cyclist dressed in black and white points towards the sky.
358,neutral,A group of women playing volleyball indoors.,Awoman serves the volleyball.
359,neutral,A professional baseball catcher and behind him an umpire are knelt in action position and are awaiting the pitch.,World Series game 3 is being played
360,neutral,A band singing and playing electric guitar for a crowd of people.,A band is playing a cover song.
361,neutral,A man is installing a roof.,A man is putting a roof on a beach house.
362,neutral,Children are playing and swimming in a boy of water with a footbridge in the background.,Children are swimming in cold water.
363,neutral,Women in blue dress singing on stage.,A woman is singing for the first time.
364,neutral,A man sits at a table in a room.,A man sits and waits for someone.
365,neutral,A young man in a backwards baseball cap balances his skateboard on the edge of the concrete.,The man has a colorful skateboard
366,neutral,A mechanic for a race car team is working on the wheels of a race car.,The car took a pit stop with just a few laps to go.
367,neutral,A group of young people performing on a stage.,A group of people are singing and dancing on stage for people.
368,neutral,a brown dog coming out of an orange and yellow tunnel,A stray dog walking out of the subway tunnel.
369,neutral,A dog is on the beach near a ball.,A dog is playing ball with his owner.
370,neutral,A man wearing a white t-shirt and shorts is rock climbing with other people wearing blue hard hats.,A man in a whit shirt and shorts is rock climbing at a very very slow pace.
371,neutral,A man in a brown shirt and a white baseball cap uses a plastic barrel to water tomato plants.,A man watering his neighbors plants.
372,neutral,A man playing a piano,A man is playing a black piano.
373,neutral,little girl posing for a picture.,The child is getting her school pictures taken.
374,neutral,A man plays a piano painted with an image of a woman on it.,A man plays a piano for his family.
375,neutral,A couple look into the camera as the foreground is filled with balloons.,The couple is celebrating an important event.
376,neutral,A boy in a gray and yellow jacket is raising his hand in front of others sitting around him.,A boy is raisingin his hand to answer a question in his class.
377,neutral,Two men are laying floor tiles in a doorway.,The tiles are very colorful.
378,neutral,Dog running with a purple toy in the snowy field.,A dog is excited.
379,neutral,A young man with glasses and his companion are attempting to do laundry in a public place.,A tall person with glasses
380,neutral,The indian's are performing a sacred dance.,The Indians hope there sacred dance will bring rain.
381,neutral,A family smiling on the couch.,A family is sitting on a couch watching TV.
382,neutral,"Two guys on a couch, one is looking up the other is looking away with a cup in his hand.",They are boyfriends.
383,neutral,Two scuba divers inspecting a large metal object in the water.,Two scuba divers are inspecting a submarine.
384,neutral,Nurses in a medical setting conversing over a plastic cup.,The nurses are discussing a patient.
385,neutral,A female gymnast flies off of the lower bar and is suspended in the air with her feet pointed upward.,A female gymnast is competing at the Olympics.
386,neutral,People in motion down a city sidewalk.,People are walking to an event.
387,neutral,A man wielding an electric razor is gleefully shaving away another man's hair.,The two men are brothers.
388,neutral,A man smiles while he shaves the head of another man.,A man is donating hair to a charity for cancer patients.
389,neutral,Two little boys are playing on stairs that have a carpet runner going down them.,Two little boys are pretending they are climbing a large mountain.
390,neutral,A person obscured in shadow in a gymnasium.,The person is trying to be sneaky.
391,neutral,A woman in a green suit walking towards an escalator.,A woman is walking to the escalator at a sporting event.
392,neutral,A smiling man is holding up a gavel.,The man is a judge.
393,neutral,A man is holding a book standing in front of a chalkboard.,"A man is holding a book about fossils, standing in front of a chalkboard."
394,neutral,"While one man, in the white cap, is golfing, three other men are in the middle of a conversation.",A man putts while his group talks to each other.
395,neutral,A motorist gets some air over a rough hill.,A motorist is riding his bike in a competition.
396,neutral,A man in a pink shirt and white vest plays a guitar.,There is a man that is good at music.
397,neutral,"Two men in polo shirts, reading the paper.",Two men reading the paper on their break.
398,neutral,A boy whiffs a ball with a bat.,The boy is playing baseball.
399,neutral,A man with a bat swings at a ball coming towards him.,The bat is aluminum
400,neutral,A man standing in a cubicle with a chair that has a black Ginobili jersey on it.,A big sports fan is working inside his cubicle.
401,neutral,A man in tan pants is eating while sitting next to a plate and a pair of shoes.,The man has black hair.
402,neutral,People are waiting in line to board a double decker bus.,German tourists are waiting in line to board a bus.
403,neutral,A man looking out of his window.,A man enjoys the sun coming through the window.
404,neutral,A boy is standing in a pool getting splashed with water.,The boy is in swimming clothes.
405,neutral,A lady is walking out of a short tunnel as a male prepares to enter it from the opposite side.,A tall person is walking
406,neutral,A baby sitting in a highchair looking delighted.,The baby is eating.
407,neutral,A woman in a black and white shirt is sitting in a chair with an animated expression on her face.,A woman in a black and white shirt is sitting in a chair with her eyes wide open.
408,neutral,Two musicians and a singer are on a stage performing a song.,The band members are playing in a dimly lit room.
409,neutral,A group of soldiers march in a parade.,A group of sad soldiers march in a parade.
410,neutral,A woman rests her head on a man's shoulder.,Woman resting her head on husband shoulder
411,neutral,"Two men, in their later years, one wearing a hat, the other wearing glasses are fixing some sort of machine.",The men are trying to fix a car.
412,neutral,Two little boys are standing in a kitchen.,They are going to get something to eat.
413,neutral,A man laughing while at a restaurant.,A man laughing while at a restaurant eating.
414,neutral,People sitting on benches in a public area.,There are people sitting on benches outdoors talking to each other.
415,neutral,A group of women around a table to fabric.,The women are sorority sisters.
416,neutral,A man is giving a presentation.,the man is a farmer
417,neutral,A boy scout with a red cap is looking through a telescope,The boyscout looks through a telescope at the clear night sky.
418,neutral,A choir made up of varying ages of people are performing.,The choir is doing a Christmas program.
419,neutral,People walking along the beach on a sunny day.,a married couple and their kids walk along the beach.
420,neutral,Two construction workers talk while looking at a Naval ship.,The workers are on break.
421,neutral,A man in a blue shirt is performing a skateboarding trick near stiars while two other men watch.,A tall person in shirt
422,neutral,A musician playing a guitar while he has the microphone inside his mouth.,The man is in a heavy metal band.
423,neutral,A man wearing a welding mask working on a duct.,The man is kneeling down.
424,neutral,Someone splashing in the water.,The woman splashes as she tries to keep from drowning in the river.
425,neutral,A boy dressed in an orange shirt and a helmet is riding a dirt bike in the woods.,A boy in orange rides his fathers dirt bike.
426,neutral,A man with his arm around a woman.,The woman and man are smiling.
427,neutral,Two men are sitting on a couch.,Two men are watching TV on a couch.
428,neutral,A young man holding a microphone and singing.,A young man is doing karaoke in a bar.
429,neutral,Two men in punk-style clothing stand in front of a wall.,Two men standing in front of a wall looking for trouble.
430,neutral,Two men have an after dinner discussion at the dinner table.,the men are partners
431,neutral,A man in a blue helmet is riding his motorcycle.,The man speeds along the street.
432,neutral,A girl and a boy hugging on a bridge,Boyfriend and girlfriend hugging each other.
433,neutral,A little girl has her arms around a little boy standing on a wooden bridge in the woods.,The little girl is consoling the boy.
434,neutral,The gentlemen with the red plaid shirt and black pants is speaking to a young lady holding a blue folder.,The young lady that the gentleman is speaking to is his daughter.
435,neutral,A young woman playing hopscotch.,A girl is teaching her friends how to play hopsotch outside.
436,neutral,A musician playing his violin.,The violinist is on stage with other musicians.
437,neutral,Boy in red and black shirt walks through grass.,The boy is going to school.
438,neutral,A man sits outdoors with some of his belongings.,A man is homeless.
439,neutral,"An athletic woman in a gray top and black shorts, seems very focused on her rollerblading.",woman going to park
440,neutral,"There are several asian people, one wearing a baseball cap.",There are many people attending a baseball game.
441,neutral,"A man and woman talk to another woman, all looking concerned, in a room being decorated with streamers and balloons.",Some people are throwing a surprise birthday party.
442,neutral,A man in a white t-shirt is holding a pair of sunglasses.,A man is shopping.
443,neutral,Little girl with very curly hair drinking her cup of juice.,A girl with curly hair is drinking through a straw.
444,neutral,A man in a bright yellow shirt juggles while riding a unicycle.,Clown entertains people at a birthday party.
445,neutral,A woman in a low cut blue shirt is in a crowded room that looks smokey.,Someone is in a bar.
446,neutral,Three puppies are in the tub being sprayed with water by a person.,Three puppies are in the tub being sprayed with water by the vet.
447,neutral,A speaker is talking with a TV in the background.,The tv volume is turned on low.
448,neutral,"Two men holding a Chinese lantern that's yellow and red, one man has a drill and the other is smiling.",A father and son hold a Chinese lantern and prepare to hang it up.
449,neutral,Two girls are sitting on a park bench one is looking at her phone and the other is looking on.,The girl is browsing reddit on her phone.
450,neutral,A man in a black shirt working on a guitar.,A guy working on his bass guitar.
451,neutral,A young girl in a riding outfit is sitting on a horse holding a teddy bear.,The girl is getting riding lessons.
452,neutral,A blond man playing a guitar.,A well dressed man is playing a guitar.
453,neutral,Two people climb a rock overhanging water.,The two people are racing each other on the rock.
454,neutral,Woman is looking something.,A woman is looking at a man
455,neutral,A fisherman using a cellphone on a boat.,A fisherman uses a cell phone to call his wife.
456,neutral,A dog leaps into the air for a tennis ball.,A dog is outside.
457,neutral,A girl playfully kicks a guy in the face while another person makes faces.,A girl is playing wrestling with a friend.
458,neutral,A man in a brown shirt and blue shorts walking in Droney Park.,A man walking in Droney Park on his day off.
459,neutral,A baby is looking into what looks like a telescope.,An infant looks through a telescope pointed at the planet Jupiter.
460,neutral,A woman on stage holding a microphone standing by a man.,Performers are waiting for a crowd to calm down before they continue their performance
461,neutral,A woman is posing in a meadow next to an old truck.,A woman is getting her maternity pictures taken.
462,neutral,A boy dressed in a plaid kilt with a brown hat wields a long pole.,The boy is younger than age ten.
463,neutral,"A man with a blue, collared shirt sits in front of another man.",a man is looking at his friend
464,neutral,A man is on a skateboard jumping from a short ledge onto the sidewalk.,The man is wearing knee pads.
465,neutral,Six people in mid-evil style costumes wearing stilts of varying length pass by a group of onlookers.,Six people are dressing old school for a play.
466,neutral,Two men on opposing teams are playing soccer in a field.,"Two teams playing soccer, practicing for the Olympics."
467,neutral,A brown dog and a black and white dog are running over grassy hills.,two dogs chase a bunny
468,neutral,Several people have gathered behind a group of other people who are sitting around a table.,Several people are sitting around a table and are about to play a card game.
469,neutral,A young girl poses with a trophy in the park.,A girl poses with her spelling bee trophy.
470,neutral,People at a farmer's market.,The family is near a farmer market.
471,neutral,Man with black shirt and sunglasses makes something out of a balloon.,A clown makes balloon animals.
472,neutral,"this Man, with a Red& White Shirt has Water Bottles on this White Truck.",the guy has bottles on the truck for me
473,neutral,The team swiftly moves their traditional boat down the river.,The river is wild
474,neutral,Two people are sitting in a chair a lady reading and a man looking to his phone,The people are husband and wife.
475,neutral,people are sitting on a bench in front of buildings.,Two coworkers eat lunch on a bench outside of their building.
476,neutral,people sitting on stools looking outside.,People look out side the bar they are in.
477,neutral,Men in an office with computers and a projector screen.,The men are preparing for a presentation.
478,neutral,A man with black clothing is sweeping steps with a broom.,The man is the janitor for the building.
479,neutral,Numerous customers browsing for produce in a market.,People are shopping for watermelons.
480,neutral,A boy wearing a shirt with an American flag plays with a basketball on the blacktop.,A boy is practicing his basketball shooting skills for his school's game later.
481,neutral,Taking a break to watch some TV,Taking a long break
482,neutral,A man in a jacket wearing black boots walking on the truck of a fallen tree over a ravine.,A lumberjack works.
483,neutral,Two girls kissing a man with a black shirt and brown hair on the cheeks.,Two girls kiss there dad.
484,neutral,Lab tech looking through a microscope in a lab.,The lab tech is looking at a cell sample.
485,neutral,A young girl in a red top is running through a grassy area with large buildings in the background.,The young girl loves to run.
486,neutral,A person is walking a bicycle down a city street.,The bike has a flat tire.
487,neutral,A young man sleeping next to a dog.,A man is sleeping next to his daughters dog.
488,neutral,A young boy poses behind the netting of an enclosed play area while three other children play.,A boy poses in front of his siblings playing
489,neutral,Two daschunds play with a red ball,Two dogs playing fetch.
490,neutral,Guy in uniform standing on the side of a boat moving through the water.,A man in the Navy stands on a boat in the cool air.
491,neutral,The female soccer team is getting last minute instruction from their coach.,The soccer team is listening to their coach for their last play to win the soccer game.
492,neutral,Asian people about to perform animal balloons.,people perform for kids
493,neutral,A boy in an all blue uniform kicks a blue soccer ball in a grassy area.,A boy is playing with the other children.
494,neutral,There are a group of track runners bracing to take off.,The track runners are all black ethniticity
495,neutral,Two guys sit on opposite sides of a strange billboard.,The two guys are workers working on the billboard taking a break.
496,neutral,A woman floats in an innertube in a large body of water.,The woman is in the ocean.
497,neutral,A young boy learns how to ride a horse,The ginger-haired kid holds the pony's reins.
498,neutral,Shadowed cyclist jumps over camera at sunset as shadowed photographer films.,A cyclist is performing for a new sports show.
499,neutral,A sitting man is holding a partially carved stone in front a partially painted wall.,The man is a sculptor.
500,neutral,The wind propels a sailing ship on a group of cruisers.,The ship nearly hits a cruiser.
501,neutral,A man in neon green Seahawks sweatshirt leans on a railing.,A man is scalping tickets to a Seahawks game.
502,neutral,Two men roasting marshmallows in a fire pit.,The two men are friends
503,neutral,A group of runners are running towards two identical skyscrapers.,The runners are competing in a marathon.
504,neutral,"Boy wearing red hat, blue jacket pushing plow in snow.",The boy pushes as hard as he can
505,neutral,"Five People are kneeling between two park cars, and one man is approaching with his arm raised into the air.",A strange ritual is being performed.
506,neutral,A man is sitting on a blue bench with a blue blanket covering his face.,A man is taking a nap on a bench.
507,neutral,A younger man dressed in tribal attire.,A young man wheres tribal clothes for a ceremony.
508,neutral,A man in tribal dress is walking down the street while spectators are standing behind red and white barrier tape.,A native american actor is about to re-inact a famous gunfight at a tourist ghosttown
509,neutral,A man stands with his arms out inside a large green piece of equipment.,He is trying to get it working again.
510,neutral,A group of people stares at a wall that is filled with drawings in a building.,A group of people analyze art together
511,neutral,A person in a ken-do outfit is standing there waiting.,A tall human standing
512,neutral,"A group of men playing music, the man holding a guitar is talking to a man with drums.",A band plays salsa music.
513,neutral,man in blue shirt sitting on the side of the road with a wheelbarrow of vegetables,A man sells fresh corn on the side of the road.
514,neutral,A red dog jumps and catches a tennis ball in its mouth.,a dog catching a ball he just got as a gift
515,neutral,"Three children and adults in the background, all pretend to sleep.",The children are playing a bedtime game with their parents.
516,neutral,A crowd gathered around a young man who is performing.,He is playing guitar for the crowd.
517,neutral,Two people are running in the grass by a hill.,A man and a woman are running as part of their training for a marathon.
518,neutral,A woman wearing a tank top and black pants is laying on the ground while looking at a book.,A woman is deciding whether or not to read a book.
519,neutral,An older man is speaking to a boy while both are sitting.,Grandpa is lecturing
520,neutral,a woman in jeans and a woman in shorts are petting a baby kangaroo.,The woman are enjoying a nice date out at the zoo.
521,neutral,A man and a woman are dancing in the crowd.,a couple dance together at their wedding reception
522,neutral,A cyclist in a red and white uniform is biking across a garage full of people.,A cyclist is in a competition.
523,neutral,A young girl in glasses observes something in the distance.,A girl is looking at the sky from far away.
524,neutral,A man in dress pants and a blue dress shirt is walking in the shadows of nature.,a man walking around in nature because he's lost
525,neutral,A man in a plaid shirt is walking on a street where there are advertisements in Chinese.,He is Chinese.
526,neutral,Two people walking outside in the woods in the winter time wearing jackets with hoods on them.,Two people are walking in the snowy woods behind their home.
527,neutral,"A man wearing red ski pants, a black jacket, and a white helmet is skiing down a mountain.",The man is near another person.
528,neutral,A woman carrying a bucket of flowers.,A woman carrying a bucket of flowers at night.
529,neutral,A bunch of people are standing all together in a street with a building in the background.,A group of people are planning something.
530,neutral,A young girl standing in front of a row of yellow chairs.,A funny person standing.
531,neutral,A man and a woman are lying together on a grassy park field near a waterfront.,A couple on a date lay next to each other in a park.
532,neutral,A man with a light blue t-shirt outside in the open wearing red ear protection while firing a gun.,A man is signaling the start of a race.
533,neutral,The man in the dark maroon shirt is kicking something.,the guy kicked his hat
534,neutral,A man wearing no shirt is lifting a shovel by a wheelbarrow as he works outside.,A man is working outside wearing no shirt because it's hot outside.
535,neutral,A little girl listens to a cellphone.,She is talking to her dad on her phone.
536,neutral,A woman in a green flowered dress is holding a container of yarn animals.,A lady in a dress is trying to sell her yarn animals.
537,neutral,A large crowd is standing around the start line.,People are getting ready to run
538,neutral,An Asian woman dressed in a colorful outfit laughing.,The woman is laughing at a joke.
539,neutral,two people riding their bikes down a street together.,A couple ride their bikes on a date.
540,neutral,Two men and two women in jackets walk down a large city street.,People on a double date in the city.
541,neutral,A youth skateboards by a mural of a griffin wielding a flaming sword.,A youth skateboards by a mural that has been vandalised.
542,neutral,A woman is cleaning up by putting dishes in the dishwasher after making supper.,a woman is cleaning for her husban
543,neutral,A family is taking part in a walk-a-thon.,The family is taking place in the event in memory of another family member.
544,neutral,A group of people is sitting at a large table and using paint brushes to form characters on white paper.,The people are making a welcome home sign.
545,neutral,a male teen is working on a school project.,A 16 year old doing homework.
546,neutral,A boy works on a project in shop class.,The project is a large percentage over his overall grade in the class.
547,neutral,Chefs prepare food on a grill in front of their customers.,The customers are entertained while watching the chefs make the food.
548,neutral,A small dog watches two big dogs playing rough in a field.,One dog is timid to participate.
549,neutral,Cheerleaders standing on a football field.,Cheerleaders are practicing their routines.
550,neutral,A brown dog races through a field.,A brown dog is racing another dog.
551,neutral,A man playing cricket,an indian man plays cricket
552,neutral,"One man, shirtless, and a woman, clothed, jumping in the water.",A husband and wife are being spontaneous by jumping in a freezing river.
553,neutral,A young boy using a spatula to handle meat on a grill.,A young boy is grilling steak.
554,neutral,A man is making a phone call.,A man is calling his wife.
555,neutral,A woman is taking a picture of a man.,The wife is taking a photo of her husband.
556,neutral,A man is ducking down between the red tulips in a flower field.,The man is hiding from his friend.
557,neutral,A woman wearing white and black carries a serving tray.,A woman is carrying a serving tray filled with tiny sandwiches.
558,neutral,A girl playing soccer in a green field with some trees in the background.,The girl plays soccer with some friends.
559,neutral,A black dog is running through a marsh-like area.,A dog is chasing a dragonfly through the marsh.
560,neutral,A young woman dressed in black attaches bags full of flowers to a bicycle.,The flowers are lilacs.
561,neutral,A girl in black pants doing exercises.,A girl trying to get fit for a bodybuilding competition.
562,neutral,Two girls aboard an amusement park ride.,The two girls are nervous about riding the park ride.
563,neutral,"A woman in a long, dark coat looks through trashcans in Winter.",A woman older than thirty is outside in winter.
564,neutral,A woman with a blue hat is taking photos in an area covered in brush.,The woman is a professional photographer.
565,neutral,"Three women sit at a table, taking notes from three identical magazines.",Three college women are studing.
566,neutral,a soccer player wearing a red uniform walks off the field after a game near a parking lot.,A soccer player is walking to his car.
567,neutral,Two young girls show prints of a line drawing of an animal.,Girls are displaying their animal drawings in a local kid's drawing competition.
568,neutral,A man holding a briefcase on a subway.,A man is going to work on a subway.
569,neutral,"A drummer wearing a plaid shirt, jeans, and a purple had bangs his drum.",A drummer practicing for a concert.
570,neutral,The man in white is playing basketball against the man in blue.,The team wearing white is winning the game.
571,neutral,Man jumping over a rusty fence on a blue bicycle.,Man jumping over the fence on his bicycle trying to escape from the dog.
572,neutral,African woman walking through field.,The african woman is looking for someone in the fields.
573,neutral,An African person standing in a wheat field.,A person standing in a wheat field of his boss.
574,neutral,a wet golden retriever is walking through a lake,A wet golden retriever is walking through a lake to find a ball.
575,neutral,A man wearing red sunglasses is carrying two cameras.,The man likes taking pictures.
576,neutral,A person is sitting on the edge of a rock cliff.,A person was thinking about jumping off a rock cliff.
577,neutral,"A man, boy and a white dog are looking at a display of postcards.",A man has his boy and his dog out enjoying time spent together while shopping.
578,neutral,A man with an afro and bandanna playing electric guitar.,the guy with the afro is playing on the guitar for his mom
579,neutral,A man wearing a striped shirt has a camera slung over his shoulder.,The photographer is well dressed and carries a camera.
580,neutral,A young ladies squatting at hillside sipping on a drink the other one with the white purse is talking pictures.,A group of hikers pause for a break.
581,neutral,A young boy wearing a suit and top hat is holding hands with a girl in a green dress.,they are at a wedding
582,neutral,a boy in a beige shirt is sleeping in a car.,A boy is homeless
583,neutral,Two boys in front of a soda machine.,Two boys are going to purchase sodas.
584,neutral,Three people posing for a camera,The three people are all female.
585,neutral,Man in plaid shirt sings into microphone while playing an acoustic guitar.,A man is at a concert playing for a large crowd.
586,neutral,A couple stands at the top of a flight of outdoor stairs kissing one another.,A couple celebrates getting engaged.
587,neutral,A female covering her face in laughter at the dinner table.,A woman has heard a joke.
588,neutral,"While two students are jumping, others in a classroom are sitting or standing.",Two students disrupting class.
589,neutral,An old man holds up a sign.,A man is working.
590,neutral,Several bicyclers are carrying their bikes up a grassy hill.,People carrying their bikes at night.
591,neutral,People are riding their bikes down a road.,People are having fun.
592,neutral,Two women stand in the street both wearing matching outfits with police like jackets that say Polotie.,Two women are taking place in a protest by dressing as police.
593,neutral,"There are two kids, a soccer ball, a dog and a goat outside in a field.",The kids are playing soccer in the field with their dog.
594,neutral,A man in a grassy field throws a stick for a group of three brown dogs.,The man enjoys dogs.
595,neutral,A woman wearing a straw hat is sitting among a variety of different foods while holding a drink.,A woman is enjoying a beer.
596,neutral,An Asian lady is holding a cup and sitting in front of a table covered in different foods.,The lady is holding a porcelain cup.
597,neutral,A mother holds her newborn baby.,An Asian mother holding her baby girl.
598,neutral,A woman in a burgundy coat exits Trader Joe's with a cart full of groceries.,a wife taking groceries home to her family
599,neutral,A woman is walking with a full shopping cart away from a Trader Joe's.,A woman is leaving Trader Joe's with a full shopping cart of things she just stole.
600,neutral,A rescue worker searches with a flashlight under a slab in a ruined building.,A rescue worker searches for survivors.
601,neutral,There is a man poking a long stick up towards the ceiling.,The man is killing a spider.
602,neutral,A man is sitting at a restaurant table outdoors.,The man is being served food under an umbrella.
603,neutral,Four youth and an elder man and woman playing in water just up to the bottom of man's swim trunks.,Grandparents watch their grandkids play in the water.
604,neutral,A young man standing on one foot in colorful bowling shoes after throwing the ball.,A person in a black shirt is standing on one foot.
605,neutral,People waiting to cross the street on the side of a sidewalk.,People are crossing the street during a parade.
606,neutral,Little girl blows bubbles in a public square.,A little girl is waiting for her parents.
607,neutral,Group of young adults posing for picture near spanish-language sign.,The people are tourists.
608,neutral,A boy plays with a motorized car next to a dirty street lined with real cars.,an abadnoned boy is playing with his toy in the ghetto alley.
609,neutral,A young girl with water wings leaps into a crowded pool,The girl is jumping to her father in the pool.
610,neutral,A boy wearing a helmet is jumping his skateboard.,A boy is jumping his skateboard while his friends watch.
611,neutral,"A teenager blows a whistle and wears white face paint, earmuffs, and a yellow hat while another teen watches.",A tall person in face paint
612,neutral,"A boy making an ""oh!"" face in front of a bay.",A child is surprised by the ships.
613,neutral,"Two children are sitting on a white blanket, while the other child is sitting in the dirt.",Two children are having fun together
614,neutral,"A young, well-dressed black man seated behind a drum set and smiling.",the man is an agent
615,neutral,"A person, in a striped blue shirt and pants, is running along.",The person is old
616,neutral,A man looks intent while sculpting a gargoyle.,The man is trying to add color to his sculpture.
617,neutral,A man sitting and a woman laying in his lap kissing each other.,A couple are preparing to be intimate.
618,neutral,The man is performing a trick on a motorcycle high in the air.,A man is showing off for his friends.
619,neutral,A blond woman wearing a pearl bracelet is about to kiss a man wearing a white shirt.,A man and woman are on a date.
620,neutral,A woman in a fur lined plaid purple jacket stands by a table full of eating children.,The woman is watching the children eat their lunch.
621,neutral,"A man wearing only a hat, boots, and underwear is walking the sidewalk with a guitar strapped around his shoulder.","A man wearing only a hat, boots, and underwear is walking the sidewalk at night"
622,neutral,"Two young girls with long brunette hair, standing in front of a stone wall playing a game.",Two girls playing hopscotch.
623,neutral,Group of Asians recording some video.,A group of Asians record multiple videos.
624,neutral,A man and a child painting a post.,The father and son are repairing the sign.
625,neutral,White dog high jumping over some pillows.,The dog is jumping over some pillows to get to a treat.
626,neutral,In front is a guy singing and playing guitar and a white shirted drummer in the back.,Some people perform at a concert.
627,neutral,A small child with a backpack walks down a narrow road next to a painted wall.,A small child is coming home from school
628,neutral,Two men with matching t-shirts fold a towel in the living room.,Two men with matching baseball team shirts are folding a towel.
629,neutral,Two men wearing red jackets are looking out over some water and one man has yellow earphones on his ears.,The man listening to music is listening to Kanye West.
630,neutral,A person standing next to an old dark building.,A man standing next to a run down building.
631,neutral,Two men are wearing caps are looking at the ground with surprised expressions on their faces.,Two men are surprised by the skunk near them.
632,neutral,A child enjoying themselves on a yellow slide at a park.,Children enjoy the last few moments in a park before a rainstorm.
633,neutral,A person stands between two giant statues that look like faces.,An old man is standing between two giant statues that look like Tom Hank's and Will Smith's faces.
634,neutral,Two children wearing hooded tops laughing with each other.,children pranking each other
635,neutral,Man taking photos of seagulls over the ocean.,It is sunny.
636,neutral,"Two men scrimmage in soccer, as a referee looks on.",the ref is watching the two men play soccer before he goes home
637,neutral,A group of three people are digging a large trench in a yard while another person walks close by.,There is treasure in the trench.
638,neutral,A young woman talks on the phone and carries her bags while walking past some hats on display.,A woman has been shopping.
639,neutral,A surfer on a wave.,A surfer competing at a competition.
640,neutral,A man in glasses in a basement.,The man is searching for something in the basement.
641,neutral,A woman sweeping in front of a ladder on a busy street.,An employee keeps a storefront looking tidy
642,neutral,A young girl running on grass,The young girl runs to join her classmates at the end of the recess period.
643,neutral,A balding man with glasses stands in front of a colorful display.,A man admires a display that he likes.
644,neutral,"One man watches while another breakdances, balancing himself for a moment on one hand.",A man practices for the 80s party.
645,neutral,The collie is standing outdoors on a sandy area.,The collie is at a beach.
646,neutral,A four piece band plays a song on a medium-size stage.,The band is playing punk rock music.
647,neutral,A group of people taking pictures on a walkway in front of a large body of water.,A group poses on vacation at the ocean.
648,neutral,A big dog catches a ball on his nose,A big dog is sitting down while trying to catch a ball
649,neutral,A wet black lab with a red collar is standing in the water.,A black lab waits for its owner to throw a ball into the water.
650,neutral,A performer plays an instrument for the audience.,The performer has a flute.
651,neutral,Two people in coats kiss on the side of a road.,A recently engaged couple embrace on the street.
652,neutral,A person in a red and tan coat is snowboarding off a hill of snow.,A girl rides a snowboard.
653,neutral,A small girl with braids blowing bubbles.,A young girl enjoys her day outside.
654,neutral,A man speaking with two women.,A man is giving two women directions at work.
655,neutral,A small group of people wait to board an MTA bus.,A small group of people wait to board a bus on a city street.
656,neutral,A young male sitting in front of a computer monitor,Someone is doing their homework.
657,neutral,"An elderly man with glasses, a red ball cap and backpack is standing in front of an open doorway.",the man is a farmer
658,neutral,A man is holding a microphone in front of his mouth.,The man was about to record his music album.
659,neutral,A photographer is using a tripod to take a picture of a sunset.,The photographer is a professional.
660,neutral,Two racers race on motorcycles.,Two people are racing in a tournament.
661,neutral,"Two girls in a crowd are dressed up, one as the cartoon character Wall-E.",A few girls cosplay at a local event.
662,neutral,A little boy in flannel pajama pants and an orange shirt is playing the guitar on the couch.,The boy wants to be a professional guitar player when he grows up
663,neutral,2 people with backpacks are at a table with a woman with a beige blazer sitting behind it.,2 people are talking
664,neutral,A girl is blowing a huge bubble.,A girl is playing.
665,neutral,"Two black guys, that are on rival teams playing basketball.",Two professional athletes playing basketball.
666,neutral,A young boy is hugging a wooden post.,A boy holds onto a post during a wind storm.
667,neutral,Two cars are being driven in a car race.,A Bugatti and a Lambourgini compete in a road race.
668,neutral,An engineer with a blue jacket and cap wears purple gloves while looking up.,The engineer heard a noise.
669,neutral,A curly-haired man is talking or possibly debating with a blond-haired man in front of a table.,A man gets into an argument after his waiter makes a mistake on his order.
